[252.9902, 304.57568;
 273.58884, 101.42412;
 210.81282, 292.2056;
 215.31882, 300.16763;
 237.06264, 285.4707;
 302.98148, 355.0112;
 240.36064, 288.73178;
 264.56851, 276.04794;
 270.18307, 284.47833;
 247.61256, 284.33762;
 267.83347, 289.15762;
 261.91614, 280.41022;
 254.03685, 284.41663;
 223.5412, 304.39832;
 217.34117, 296.35229;
 297.10187, 359.0524;
 284.51984, 365.39026;
 276.02487, 360.97052;
 273.83414, 360.19403;
 276.87189, 273.09952;
 284.26559, 279.11127;
 302.76883, 284.34686;
 287.40433, 272.12503;
 296.42969, 276.81805;
 276.72934, 275.01337;
 222.60049, 302.00034;
 266.82669, 273.51425;
 297.2562, 287.7858;
 289.36853, 280.67184;
 268.27429, 278.98077;
 281.92496, 274.24902;
 277.13809, 273.43176;
 301.11325, 281.21906;
 292.74319, 275.48007;
 284.56589, 276.99612;
 285.77338, 276.87466;
 270.88208, 282.03244;
 275.68317, 275.69296;
 294.02002, 282.64694;
 260.16864, 281.97498;
 321.89529, 298.91599;
 337.29663, 335.38858;
 349.88892, 335.8118;
 297.30252, 353.67886;
 335.86166, 315.6994;
 313.39346, 352.52411;
 271.89297, 348.35501;
 361.52502, 332.57553;
 278.47937, 351.70212;
 345.88098, 331.85159;
 221.0845, 290.26633;
 288.74207, 357.21252;
 331.5412, 306.46655;
 302.77591, 285.02878;
 303.50824, 354.19415;
 224.42682, 305.88843;
 342.27499, 312.70621;
 353.73035, 319.25726;
 364.94876, 327.39902;
 348.01572, 317.00357;
 260.27823, 331.5549;
 285.34732, 367.21121;
 287.10733, 263.82657;
 304.29449, 353.62552;
 290.58737, 352.18558;
 304.5448, 356.56741;
 341.55267, 318.55734;
 342.47476, 310.09576;
 339.2139, 327.12567;
 238.34364, 283.52835;
 276.49338, 272.68829;
 272.03958, 281.96414;
 315.38675, 288.39334;
 288.03421, 271.37424;
 337.14224, 338.76648;
 297.67822, 275.85596;
 323.20193, 294.76462;
 263.4071, 287.65073;
 302.99582, 273.65158;
 364.96555, 329.28873;
 359.4115, 324.65585;
 331.03271, 305.87482;
 286.72134, 275.4574;
 316.31305, 354.93396;
 360.09131, 330.04123;
 338.06052, 308.96759;
 351.1871, 332.74518;
 323.60516, 297.11606;
 314.95306, 286.68829;
 282.78894, 272.69824;
 337.75653, 296.89386;
 293.51782, 274.24832;
 352.85608, 325.93988;
 353.32962, 318.03525;
 340.78894, 315.98349;
 263.91132, 276.02484;
 351.78534, 324.64185;
 215.71449, 286.42358;
 280.29224, 269.44818;
 285.14139, 282.41647;
 281.55463, 272.04865;
 292.80927, 289.29755;
 303.49561, 293.51819;
 267.48193, 270.71027;
 285.23453, 264.26822;
 227.6373, 283.78687;
 349.89423, 315.58868;
 359.57291, 324.14093;
 327.72583, 303.43671;
 233.30363, 284.75906;
 286.57767, 270.54727;
 289.55783, 360.12848;
 308.5993, 289.93326;
 251.86075, 279.67688;
 211.63943, 304.93866;
 258.47842, 272.19357;
 278.00104, 269.80618;
 297.87943, 283.95605;
 296.95566, 276.30222;
 347.81708, 303.32883;
 232.61845, 323.86807;
 273.20953, 277.44717;
 257.65137, 278.79837;
 355.18451, 327.22885;
 220.03993, 293.08441;
 209.25114, 290.97897;
 213.36566, 293.18738;
 274.31555, 273.479;
 288.52136, 268.11081;
 347.91559, 335.78259;
 206.15807, 293.35257;
 257.71613, 278.4274;
 359.79041, 322.58173;
 350.16733, 339.189;
 341.24921, 338.70081;
 353.16937, 326.30173;
 346.88959, 317.68045;
 291.43155, 366.96573;
 333.64374, 312.8201;
 281.33313, 284.44504;
 338.73688, 349.26968;
 355.70197, 327.79099;
 276.84488, 271.5567;
 276.19702, 276.91238;
 290.80557, 265.14474;
 280.40286, 269.50528;
 209.06569, 291.38327;
 325.2627, 291.23471;
 341.57706, 309.00183;
 322.92224, 288.48962;
 350.00055, 318.08209;
 327.13046, 292.87735;
 286.55322, 280.23508;
 291.79187, 360.82239;
 295.21872, 273.35126;
 222.86467, 288.34839;
